Site Code,Site Name,Latitude,Longitude,COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,RETRIES,SEQ_NO,COMMENTS,LAT,LON,STATION_TYPE,COMMON_DESC,DIVERTING_WORKS,MEASURING_DEVICE,RECORD_RATING,SYSTEM_NAME,UNITS_ID,OWNER_NAME,CAPTURE_SEQ_NO,ANALOG_CHANNEL,LOW_FLOW,HIGH_FLOW,DEVICE_TYPE,OWNER_PHONE,REALTIME_INCLUDE,CORRECTED_DATA,STATUS,SYSTEM_GROUP,SYSTEM_SUBGROUP,ADDRESS_ID,DataEntryMethod,DataLogger,DatasetType,SeriesVerifiedBy,SeriesVerifiedDate,SiteState,SiteType,SiteVerifiedBy,SiteVerifiedDate,Telemetry
09163675,"COTTONWOOD WASH AT I-70, NEAR CISCO, UTAH",39.08165184,-109.2176153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09180000,"DOLORES RIVER NEAR CISCO, UT",38.79720805,-109.1951142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09180500,"COLORADO RIVER NEAR CISCO, UT",38.81054095,-109.2934493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09180920,"ONION CREEK ABOVE ONION C BRIDGE NR MOAB, UT",38.69693046,-109.2551154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09180970,"ONION CREEK BELOW ONION CRK BRIDGE NR MOAB, UT",38.70637365,-109.3151161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09181000,"ONION CREEK NEAR MOAB, UTAH",38.72498404,-109.3451166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09181500,"PROFESSOR CREEK NEAR MOAB, UT",38.72915,-109.3756725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09182000,"CASTLE CREEK ABOVE DIVERSIONS, NEAR MOAB, UTAH",38.5927639,-109.2656708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09182200,"CASTLE CREEK BELOW CASTLETON NEAR MOAB, UT",38.6124849,-109.332338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09182400,"CASTLE CREEK BELOW CASTLE VALLEY NEAR MOAB, UT",38.673859,-109.4501395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09182500,"CASTLE CREEK NEAR MOAB, UTAH",38.67914895,-109.4492841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09182900,"COURTHOUSE WASH AT ARCHES HWY CROSS NR MOAB, UT",38.64859187,-109.5992853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09183000,"COURTHOUSE WASH NEAR MOAB, UTAH",38.61275926,-109.5798402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09183500,"MILL CREEK AT SHELEY TUNNEL, NEAR MOAB, UT",38.4819972,-109.405025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09183600,"MILL CREEK BELOW SHELEY TUNNEL, NEAR MOAB, UT",38.48571796,-109.4111044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09183800,"NORTH FORK MILL CREEK NEAR MOAB, UTAH",38.56599444,-109.477175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09184000,"MILL CREEK NEAR MOAB, UT",38.56220477,-109.5140057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09184500,"PACK CREEK AT M4 RANCH, NR MOAB, UTAH",38.43609688,-109.3548368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09184600,"PACK CREEK AT PACK CREEK ROAD BRIDGE NEAR MOAB, UT",38.44580556,-109.38525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09185000,"PACK CREEK NEAR MOAB, UTAH",38.5402606,-109.500672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09185100,"MILL CREEK BLW PACK CREEK NR MOUTH AT MOAB, UT",38.5732861,-109.5672083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09185500,"HATCH WASH NEAR LA SAL, UTAH",38.24332,-109.4401142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09185600,"COLORADO RIVER AT POTASH, UT",38.5047222,-109.6583333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09185800,"INDIAN CREEK TUNNEL NEAR MONTICELLO, UTAH",37.8411046,-109.5054004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09186000,"INDIAN CREEK NEAR MONTICELLO, UTAH",37.84443774,-109.518734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09186500,"INDIAN C AB COTTONWOOD CREEK, NR MONTICELLO, UT",37.9722137,-109.5192888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09187000,"COTTONWOOD CREEK NEAR MONTICELLO, UTAH",38.06248946,-109.5742877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09187500,"INDIAN CREEK ABV HARTS DRAW, NR MONTICELLO, UT",38.1516546,-109.6256753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09187550,"INDIAN CREEK BLW BOGUS POCKET, NR MONTICELLO, UT",38.1516546,-109.6256753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09217900,"BLACKS FORK NEAR ROBERTSON, WY",40.95902778,-110.5797222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09219500,"E Fk Smiths Fk at China Meadows, nr Robertson, WY",40.9333333,-110.4002778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09225500,"GREEN RIVER NEAR LINWOOD, UTAH",40.9666262,-109.5784759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09226500,"MIDDLE FORK BEAVER CREEK NEAR LONETREE, WYO.",40.9443932,-110.1793209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09227000,"EF BEAVER CREEK NEAR LONETREE, WYOMING",40.9443936,-110.1618207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09227500,"WEST FORK BEAVER CREEK NEAR LONETREE, WYOMING",40.94717019,-110.2173767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09228500,"BURNT FORK NEAR BURNTFORK, WY",40.94632437,-110.0662927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09230300,"BIRCH SPRING DRAW AT FGNRA BOUNDARY NR MANILA, UT",40.99027778,-109.6545278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09231000,"SHEEP CREEK UPPER CANAL NEAR MANILA, UTAH",40.8991204,-109.9348746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09231200,"CARTER CREEK CANAL NEAR MANILA, UTAH",40.88550978,-109.9059854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09231500,"SHEEP CREEK LOWER CANAL NEAR MANILA, UTAH",40.89023219,-109.8984853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09232000,"SHEEP CREEK NEAR MANILA, UTAH",40.88606539,-109.9034853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09232500,"SHEEP CREEK AT MOUTH NEAR MANILA, UTAH",40.9332919,-109.6562573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09233000,"CARTER CREEK NEAR MANILA, UTAH",40.83884416,-109.8312619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09233500,"RED LAKE OUTLET NR MANILA, UT",40.8457892,-109.8026504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09234000,"CARTER CREEK AT MOUTH NEAR MANILA, UTAH",40.8930143,-109.5923652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09234500,"GREEN RIVER NEAR GREENDALE, UT",40.90829296,-109.422914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09234700,"RED CREEK NEAR DUTCH JOHN, UTAH",40.9696816,-109.237352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09235000,"GREEN RIVER AT BRIDGEPORT, UTAH",40.8621822,-109.1395701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09235100,"CROUSE CREEK NEAR VERNAL, UT",40.7952383,-109.0912348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09235600,"POT CREEK ABOVE DIVERSIONS, NEAR VERNAL, UTAH",40.768015,-109.3190219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09235800,"POT CREEK NEAR VERNAL, UTAH",40.67357295,-109.0515105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09261000,"GREEN RIVER NEAR JENSEN, UT",40.4093915,-109.2354283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09261500,"BIG BRUSH CREEK (AB CAVE) NR VERNAL, UTAH",40.7041243,-109.5965309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09261700,"BIG BRUSH CRK ABV RED FLEET RES, NR VERNAL, UT",40.5888323,-109.4654372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09262000,"BIG BRUSH CREEK NEAR VERNAL,UTAH",40.58162648,-109.4348572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09262500,LT BRUSH CR BL E PK RES NR VERNAL UT,40.75829135,-109.534029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09263000,"LITTLE BRUSH CREEK NR VERNAL, UT",40.7160695,-109.5056942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09263500,"BRUSH CREEK NEAR JENSEN, UTAH",40.4085734,-109.3409634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09264000,"ASHLEY C BELOW TROUT C NR VERNAL, UTAH",40.73329,-109.6784789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09264500,"SOUTH FORK ASHLEY C NR VERNAL, UTAH",40.7332898,-109.7034799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09265000,"OAKS PARK CANAL NEAR VERNAL, UTAH",40.74329049,-109.6223657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
