COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_REPEATED,TOTAL_ABOVE_MAX,TOTAL_LARGE_SPIKES,TOTAL_FLAGGED,TOTAL_NOT_FLAGGED,TOTAL_NEGATIVE_RATIO,TOTAL_ZERO_RATIO,TOTAL_REPEATED_RATIO,TOTAL_ABOVE_MAX_RATIO,TOTAL_LARGE_SPIKES_RATIO,TOTAL_FLAGGED_RATIO,TOTAL_NOT_FLAGGED_RATIO,IR_RECORDS,IR_NEGATIVE,IR_ZERO,IR_REPEATED,IR_ABOVE_MAX,IR_LARGE_SPIKES,IR_FLAGGED,IR_NOT_FLAGGED,NEGATIVE_IR_RATIO,ZERO_IR_RATIO,REPEATED_IR_RATIO,ABOVE_MAX_IR_RATIO,LARGE_SPIKES_IR_RATIO,FLAGGED_IR_RATIO,NOT_FLAGGED_IR_RATIO,NIR_RECORDS,NIR_NEGATIVE,NIR_ZERO,NIR_REPEATED,NIR_ABOVE_MAX,NIR_LARGE_SPIKES,NIR_FLAGGED,NIR_NOT_FLAGGED,NEGATIVE_NIR_RATIO,ZERO_NIR_RATIO,REPEATED_NIR_RATIO,ABOVE_MAX_NIR_RATIO,LARGE_SPIKES_NIR_RATIO,FLAGGED_NIR_RATIO,NOT_FLAGGED_NIR_RATIO,SEASONALITY_WEBPAGE
UJORDAN             ,Jordan River (Upper),6,07.02 SOUTH JORDAN CANAL (TOTAL)                                                ,B3                                      ,South Jordan Canal                                                                                                                                                                                      ,Conveyance,1.0,6,UTAH LAKE/JORDAN RIVER                                      ,Observational,12-ft Concrete Ramp Flume           ,DIGITAL     ,A,40.46221957,-111.9334146,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=6,75,1951.0,2025.0,15205,0,1803,3018,0,0,4821,10384,0.0,37.398879900435595,62.60112009956441,0.0,0.0,31.70667543571194,68.29332456428806,11904,0,837,1652,0,0,2489,9415,0.0,33.6279630373644,66.37203696263559,0.0,0.0,20.90893817204301,79.09106182795699,3301,0,966,1366,0,0,2332,969,0.0,41.42367066895369,58.57632933104632,0.0,0.0,70.64525901242048,29.354740987579518,https://flags-297769208259.us-west3.run.app/plot?id=6
LOGAN_DL            ,Logan River Dataloggers,18,PROVIDENCE-LOGAN IRRIGATION COMPANY                                             ,PROVIDENCE-LOGAN IRRIGATION COMPANY     ,Radio 301_1 PakBus 1                                                                                                                                                                                    ,Conveyance,1.0,18,LOGAN RIVER                                                 ,Observational,3 foot parshall flume with recorder ,DIGITAL     ,A,41.73946976,-111.8004999,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=18,50,1973.0,2025.0,9551,0,2591,1487,53,0,4105,5446,0.0,63.11814859926918,36.22411693057248,1.2911084043848964,0.0,42.97979269186472,57.02020730813528,7719,0,980,1458,53,0,2465,5254,0.0,39.75659229208925,59.148073022312374,2.150101419878296,0.0,31.934188366368698,68.0658116336313,1832,0,1611,29,0,0,1640,192,0.0,98.23170731707317,1.768292682926829,0.0,0.0,89.51965065502183,10.480349344978166,https://flags-297769208259.us-west3.run.app/plot?id=18
LOGAN_DL            ,Logan River Dataloggers,19,NORTHWEST FIELD CANAL                                                           ,NORTHWEST FIELD CANAL                   ,Southwest Field calls for tables from Northwest Field Datalogger                                                                                                                                        ,Conveyance,1.0,19,LOGAN RIVER                                                 ,Observational,12 foot ramp flume with recorder    ,DIGITAL     ,A,41.72707435,-111.8436476,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=19,51,1973.0,2024.0,10340,0,2109,565,16,0,2690,7650,0.0,78.40148698884758,21.00371747211896,0.5947955390334573,0.0,26.01547388781431,73.98452611218569,8486,0,856,535,16,0,1407,7079,0.0,60.83866382373845,38.024164889836534,1.1371712864250179,0.0,16.580249823238276,83.41975017676172,1854,0,1253,30,0,0,1283,571,0.0,97.66173031956352,2.338269680436477,0.0,0.0,69.2017259978425,30.7982740021575,https://flags-297769208259.us-west3.run.app/plot?id=19
LBEAR               ,Bear River (Cache),21,BENSON IRRIGATION COMPANY                                                       ,A5                                      ,Benson Irrigation                                                                                                                                                                                       ,Conveyance,1.0,21,LOGAN RIVER                                                 ,Observational,6 foot parshall flume/shaft encodr  ,DIGITAL     ,A,41.7739505,-111.8488765,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=21,52,1973.0,2025.0,10356,0,1170,465,37,1,1666,8690,0.0,70.22809123649459,27.911164465786314,2.220888355342137,0.060024009603841535,16.08729239088451,83.91270760911549,8544,0,641,262,36,1,933,7611,0.0,68.70310825294747,28.081457663451232,3.858520900321544,0.10718113612004287,10.919943820224718,89.08005617977528,1812,0,529,203,1,0,733,1079,0.0,72.16916780354707,27.694406548431104,0.1364256480218281,0.0,40.45253863134658,59.54746136865342,https://flags-297769208259.us-west3.run.app/plot?id=21
LOGAN_DL            ,Logan River Dataloggers,26,HYDE PARK AND LOGAN NORTHFIELD                                                  ,HYDE PARK AND LOGAN NORTHFIELD          ,HYDE PARK AND LOGAN NORTHFIELD                                                                                                                                                                          ,Conveyance,1.0,26,LOGAN RIVER                                                 ,Observational,7 foot Parshall Flume with recorder ,,A,41.73154153,-111.8303939,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=26,52,1973.0,2025.0,8998,0,1359,1274,24,0,2653,6345,0.0,51.225028269883154,48.02110817941953,0.9046362608367886,0.0,29.484329851078016,70.51567014892198,7930,0,770,1179,24,0,1969,5961,0.0,39.10614525139665,59.87811071609954,1.218892839004571,0.0,24.829760403530894,75.1702395964691,1068,0,589,95,0,0,684,384,0.0,86.11111111111111,13.88888888888889,0.0,0.0,64.04494382022472,35.95505617977528,https://flags-297769208259.us-west3.run.app/plot?id=26
PRICE_DL            ,Price River Dataloggers,29,CARBON CANAL                                                                    ,Carbon Canal                            ,Canal Flume                                                                                                                                                                                             ,Conveyance,1.0,29,PRICE RIVER                                                 ,Observational,10 foot parshall flume              ,DIGITAL     ,A,39.63848205,-110.8616184,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=29,76,1950.0,2025.0,23428,0,3206,6312,15,2,9533,13895,0.0,33.630546522605684,66.21210531836778,0.1573481590265394,0.020979754536871918,40.69062660064879,59.30937339935121,13592,0,475,2085,15,2,2575,11017,0.0,18.446601941747574,80.97087378640776,0.5825242718446602,0.07766990291262137,18.944967628016478,81.05503237198351,9836,0,2731,4227,0,0,6958,2878,0.0,39.24978442081058,60.75021557918943,0.0,0.0,70.74013826758845,29.25986173241155,https://flags-297769208259.us-west3.run.app/plot?id=29
PRICE_DL            ,Price River Dataloggers,30,PRICE-WELLINGTON CANAL                                                          ,Price-Wellington Canal                  ,Price-Wellington Canal                                                                                                                                                                                  ,Conveyance,1.0,30,PRICE RIVER                                                 ,Observational,"10` parshall flume (512299, 4387532)",DIGITAL     ,A,39.63923938,-110.8573614,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=30,76,1950.0,2025.0,21593,0,4418,5940,47,1,10405,11188,0.0,42.46035559827006,57.087938491110044,0.45170591061989435,0.009610764055742432,48.18691242532302,51.81308757467698,13510,0,617,3129,46,1,3792,9718,0.0,16.2710970464135,82.51582278481013,1.2130801687763713,0.026371308016877634,28.068097705403407,71.9319022945966,8083,0,3801,2811,1,0,6613,1470,0.0,57.47769544835929,42.50718282171481,0.015121729925903524,0.0,81.81368303847582,18.186316961524188,https://flags-297769208259.us-west3.run.app/plot?id=30
PRICE_DL            ,Price River Dataloggers,33,BRYNER-PLOUTZ DITCH                                                             ,Bryner-Ploutz Ditch                     ,Bryner-Ploutz Ditch                                                                                                                                                                                     ,Conveyance,7.0,33,PRICE RIVER                                                 ,Observational,Ultrasonic                          ,FLOWMETER   ,A,39.70232676,-110.8662975,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=33,76,1950.0,2025.0,16658,0,6066,6110,298,0,12348,4310,0.0,49.12536443148688,49.48169744088111,2.4133462908973113,0.0,74.12654580381799,25.873454196182017,12170,0,2378,5514,295,0,8064,4106,0.0,29.489087301587304,68.37797619047619,3.658234126984127,0.0,66.26129827444535,33.73870172555464,4488,0,3688,596,3,0,4284,204,0.0,86.08776844070962,13.912231559290383,0.0700280112044818,0.0,95.45454545454545,4.545454545454546,https://flags-297769208259.us-west3.run.app/plot?id=33
PRICE_DL            ,Price River Dataloggers,35,GAY DITCH                                                                       ,Gay Ditch                               ,Gay Ditch                                                                                                                                                                                               ,Conveyance,1.0,35,PRICE RIVER                                                 ,Observational,9 inch parshall flume               ,DIGITAL     ,A,39.67540914,-110.8605209,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=35,76,1950.0,2025.0,15976,0,7797,3443,25,0,11261,4715,0.0,69.23896634401918,30.57454932954445,0.22200515051949204,0.0,70.48698047070606,29.513019529293942,11908,0,4124,3171,25,0,7316,4592,0.0,56.36960087479497,43.3433570256971,0.3417167851284855,0.0,61.43768894860598,38.56231105139402,4068,0,3673,272,0,0,3945,123,0.0,93.10519645120405,6.894803548795944,0.0,0.0,96.976401179941,3.023598820058997,https://flags-297769208259.us-west3.run.app/plot?id=35
PRICE_DL            ,Price River Dataloggers,36,OBERTO DITCH                                                                    ,Oberto Ditch                            ,Radio - ADD: 202 CH: 3                                                                                                                                                                                  ,Conveyance,1.0,36,PRICE RIVER                                                 ,Observational,Greyline Ultrasonic Pipe Meter      ,,A,39.67740238,-110.8602826,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=36,53,1950.0,2025.0,9725,0,3659,3733,200,0,7491,2234,0.0,48.84528100387131,49.83313309304499,2.6698705112802026,0.0,77.02827763496144,22.97172236503856,7987,0,2192,3528,200,0,5819,2168,0.0,37.66970269805808,60.62897405052414,3.437016669530847,0.0,72.8558908225867,27.144109177413295,1738,0,1467,205,0,0,1672,66,0.0,87.73923444976076,12.260765550239235,0.0,0.0,96.20253164556962,3.79746835443038,https://flags-297769208259.us-west3.run.app/plot?id=36
