COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_95th,TOTAL_IQR,TOTAL_RoC,TOTAL_REPEATED,TOTAL_IF,TOTAL_RSD,TOTAL_FLAGGED,FLAG_RATIO,ZERO_RATIO,REPEATED_RATIO
UJORDAN             ,Jordan River (Upper),6,07.02 SOUTH JORDAN CANAL (TOTAL)                                                ,B3                                      ,South Jordan Canal                                                                                                                                                                                      ,Conveyance,1.0,6,UTAH LAKE/JORDAN RIVER                                      ,Observational,12-ft Concrete Ramp Flume           ,DIGITAL     ,A,40.46221957,-111.9334146,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=6,75,1951.0,2025.0,15203,0,1801,665,0,0,3945,654,0,6478,42.61%,11.85%,60.90%
LOGAN_DL            ,Logan River Dataloggers,18,PROVIDENCE-LOGAN IRRIGATION COMPANY                                             ,PROVIDENCE-LOGAN IRRIGATION COMPANY     ,Radio 301_1 PakBus 1                                                                                                                                                                                    ,Conveyance,1.0,18,LOGAN RIVER                                                 ,Observational,3 foot parshall flume with recorder ,DIGITAL     ,A,41.73946976,-111.8004999,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=18,50,1973.0,2025.0,9539,0,2579,284,2702,0,1919,340,0,4878,51.14%,27.04%,39.34%
LOGAN_DL            ,Logan River Dataloggers,19,NORTHWEST FIELD CANAL                                                           ,NORTHWEST FIELD CANAL                   ,Southwest Field calls for tables from Northwest Field Datalogger                                                                                                                                        ,Conveyance,1.0,19,LOGAN RIVER                                                 ,Observational,12 foot ramp flume with recorder    ,DIGITAL     ,A,41.72707435,-111.8436476,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=19,51,1973.0,2024.0,10340,0,2109,378,16,0,970,412,0,3590,34.72%,20.40%,27.02%
LBEAR               ,Bear River (Cache),21,BENSON IRRIGATION COMPANY                                                       ,A5                                      ,Benson Irrigation                                                                                                                                                                                       ,Conveyance,1.0,21,LOGAN RIVER                                                 ,Observational,6 foot parshall flume/shaft encodr  ,DIGITAL     ,A,41.7739505,-111.8488765,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=21,52,1973.0,2025.0,10344,0,1170,459,37,12,696,432,6,2388,23.09%,11.31%,29.15%
LOGAN_DL            ,Logan River Dataloggers,26,HYDE PARK AND LOGAN NORTHFIELD                                                  ,HYDE PARK AND LOGAN NORTHFIELD          ,HYDE PARK AND LOGAN NORTHFIELD                                                                                                                                                                          ,Conveyance,1.0,26,LOGAN RIVER                                                 ,Observational,7 foot Parshall Flume with recorder ,,A,41.73154153,-111.8303939,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=26,52,1973.0,2025.0,8986,0,1359,380,24,5,1814,353,0,3575,39.78%,15.12%,50.74%
PRICE_DL            ,Price River Dataloggers,29,CARBON CANAL                                                                    ,Carbon Canal                            ,Canal Flume                                                                                                                                                                                             ,Conveyance,1.0,29,PRICE RIVER                                                 ,Observational,10 foot parshall flume              ,DIGITAL     ,A,39.63848205,-110.8616184,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=29,76,1950.0,2025.0,23421,0,3206,993,15,4,7695,977,3,11875,50.70%,13.69%,64.80%
PRICE_DL            ,Price River Dataloggers,30,PRICE-WELLINGTON CANAL                                                          ,Price-Wellington Canal                  ,Price-Wellington Canal                                                                                                                                                                                  ,Conveyance,1.0,30,PRICE RIVER                                                 ,Observational,"10` parshall flume (512299, 4387532)",DIGITAL     ,A,39.63923938,-110.8573614,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=30,76,1950.0,2025.0,21581,0,4413,838,47,11,7470,813,1,12626,58.51%,20.45%,59.16%
PRICE_DL            ,Price River Dataloggers,33,BRYNER-PLOUTZ DITCH                                                             ,Bryner-Ploutz Ditch                     ,Bryner-Ploutz Ditch                                                                                                                                                                                     ,Conveyance,7.0,33,PRICE RIVER                                                 ,Observational,Ultrasonic                          ,FLOWMETER   ,A,39.70232676,-110.8662975,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=33,76,1950.0,2025.0,16649,0,6066,485,485,19,7007,498,0,13382,80.38%,36.43%,52.36%
PRICE_DL            ,Price River Dataloggers,35,GAY DITCH                                                                       ,Gay Ditch                               ,Gay Ditch                                                                                                                                                                                               ,Conveyance,1.0,35,PRICE RIVER                                                 ,Observational,9 inch parshall flume               ,DIGITAL     ,A,39.67540914,-110.8605209,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=35,76,1950.0,2025.0,15964,0,7785,337,25,0,4193,265,0,12187,76.34%,48.77%,34.41%
PRICE_DL            ,Price River Dataloggers,36,OBERTO DITCH                                                                    ,Oberto Ditch                            ,Radio - ADD: 202 CH: 3                                                                                                                                                                                  ,Conveyance,1.0,36,PRICE RIVER                                                 ,Observational,Greyline Ultrasonic Pipe Meter      ,,A,39.67740238,-110.8602826,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=36,53,1950.0,2025.0,9714,0,3648,279,200,12,4354,304,0,8208,84.50%,37.55%,53.05%
