COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr
UJORDAN             ,Jordan River (Upper),6,07.02 SOUTH JORDAN CANAL (TOTAL)                                                ,B3                                      ,South Jordan Canal                                                                                                                                                                                      ,Conveyance,1,6,UTAH LAKE/JORDAN RIVER                                      ,Observational,12-ft Concrete Ramp Flume           ,DIGITAL     ,A,40.46221957,-111.9334146,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=6,75,1951,2025
LOGAN_DL            ,Logan River Dataloggers,18,PROVIDENCE-LOGAN IRRIGATION COMPANY                                             ,PROVIDENCE-LOGAN IRRIGATION COMPANY     ,Radio 301_1 PakBus 1                                                                                                                                                                                    ,Conveyance,1,18,LOGAN RIVER                                                 ,Observational,3 foot parshall flume with recorder ,DIGITAL     ,A,41.73946976,-111.8004999,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=18,50,1973,2025
LOGAN_DL            ,Logan River Dataloggers,19,NORTHWEST FIELD CANAL                                                           ,NORTHWEST FIELD CANAL                   ,Southwest Field calls for tables from Northwest Field Datalogger                                                                                                                                        ,Conveyance,1,19,LOGAN RIVER                                                 ,Observational,12 foot ramp flume with recorder    ,DIGITAL     ,A,41.72707435,-111.8436476,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=19,51,1973,2024
LBEAR               ,Bear River (Cache),21,BENSON IRRIGATION COMPANY                                                       ,A5                                      ,Benson Irrigation                                                                                                                                                                                       ,Conveyance,1,21,LOGAN RIVER                                                 ,Observational,6 foot parshall flume/shaft encodr  ,DIGITAL     ,A,41.7739505,-111.8488765,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=21,52,1973,2025
LOGAN_DL            ,Logan River Dataloggers,26,HYDE PARK AND LOGAN NORTHFIELD                                                  ,HYDE PARK AND LOGAN NORTHFIELD          ,HYDE PARK AND LOGAN NORTHFIELD                                                                                                                                                                          ,Conveyance,1,26,LOGAN RIVER                                                 ,Observational,7 foot Parshall Flume with recorder ,NULL,A,41.73154153,-111.8303939,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=26,52,1973,2025
PRICE_DL            ,Price River Dataloggers,29,CARBON CANAL                                                                    ,Carbon Canal                            ,Canal Flume                                                                                                                                                                                             ,Conveyance,1,29,PRICE RIVER                                                 ,Observational,10 foot parshall flume              ,DIGITAL     ,A,39.63848205,-110.8616184,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=29,76,1950,2025
PRICE_DL            ,Price River Dataloggers,30,PRICE-WELLINGTON CANAL                                                          ,Price-Wellington Canal                  ,Price-Wellington Canal                                                                                                                                                                                  ,Conveyance,1,30,PRICE RIVER                                                 ,Observational,"10` parshall flume (512299, 4387532)",DIGITAL     ,A,39.63923938,-110.8573614,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=30,76,1950,2025
PRICE_DL            ,Price River Dataloggers,33,BRYNER-PLOUTZ DITCH                                                             ,Bryner-Ploutz Ditch                     ,Bryner-Ploutz Ditch                                                                                                                                                                                     ,Conveyance,7,33,PRICE RIVER                                                 ,Observational,Ultrasonic                          ,FLOWMETER   ,A,39.70232676,-110.8662975,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=33,76,1950,2025
PRICE_DL            ,Price River Dataloggers,35,GAY DITCH                                                                       ,Gay Ditch                               ,Gay Ditch                                                                                                                                                                                               ,Conveyance,1,35,PRICE RIVER                                                 ,Observational,9 inch parshall flume               ,DIGITAL     ,A,39.67540914,-110.8605209,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=35,76,1950,2025
PRICE_DL            ,Price River Dataloggers,36,OBERTO DITCH                                                                    ,Oberto Ditch                            ,Radio - ADD: 202 CH: 3                                                                                                                                                                                  ,Conveyance,1,36,PRICE RIVER                                                 ,Observational,Greyline Ultrasonic Pipe Meter      ,NULL,A,39.67740238,-110.8602826,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=36,53,1950,2025
LOGAN_DL            ,Logan River Dataloggers,56,8TH WARD CANAL (CROCKETT CANAL)                                                 ,8TH WARD CANAL (CROCKETT CANAL)         ,Radio - USU ADD:301 CH:1 PakBus 2                                                                                                                                                                       ,Conveyance,1,56,LOGAN RIVER                                                 ,Observational,10 ft. Parshall Flume with recorder ,DIGITAL     ,A,41.73414808,-111.8119708,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=56,51,1973,2025
USBR                ,USBR,73,SCOFIELD RESERVOIR RELEASES                                                     ,SCOFIELD|total release                  ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `SCOFIELD`|`release` at 8:30AM                                                                                                                          ,Reservoir Release,1,73,PRICE RIVER                                                 ,Observational,TELEMETRY SYSTEM                    ,DIGITAL     ,A,39.78644969,-111.1191397,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=73,61,1958,2025
CU_SCADA            ,CUWCD Scada,87,TIMPANOGOS CANAL (UTAH COUNTY)                                                  ,TCTOTFLOW_HIST                          ,Timpanogas and East Union Diversion (Utah County) (GPM)                                                                                                                                                 ,Conveyance,1,87,PROVO RIVER                                                 ,Observational,4 foot Parshall Flume               ,STAGE       ,A,40.59503372,-111.4249084,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=87,59,1954,2024
CU_SCADA            ,CUWCD Scada,91,PROVO BENCH CANAL                                                               ,OREM\BR\ANALOG\PR_BENCH_CANAL_FLOW      ,Provo Bench Canal Diversion Rate                                                                                                                                                                        ,Conveyance,1,91,PROVO RIVER                                                 ,Observational,14.25 foot rect. suppressed weir    ,DIGITAL     ,A,40.29308817,-111.6700566,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=91,55,1952,2025
PROVO               ,Provo River Dataloggers,99,FORT FIELD CANAL                                                                ,Fort Field Canal                        ,2 ft Parshall Flume Submerged.  Pulsar flow sensor installed downstream of flume.                                                                                                                       ,Conveyance,1,99,PROVO RIVER                                                 ,Observational,Flow Meter (2 ft Flume Submerged)   ,NULL,A,40.23417617,-111.693215,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=99,53,1953,2025
CU_SCADA            ,CUWCD Scada,101,MIDWAY RIVER DITCH (TOTAL)                                                      ,OREM\OD\PL\FLOW                         ,Midway Ditch - Diversion                                                                                                                                                                                ,Conveyance,1,101,PROVO RIVER                                                 ,Observational,8 foot rectangular suppressed weir  ,DIGITAL     ,A,40.55411115,-111.4335673,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=101,69,1950,2025
CU_SCADA            ,CUWCD Scada,103,WASHINGTON/SOUTH KAMAS CANAL (TOTAL)                                            ,HPWSKFLOW_HIST                          ,Washington/South Kamas Canal total                                                                                                                                                                      ,Conveyance,1,103,PROVO RIVER                                                 ,Observational,14 foot rectangular suppressed weir ,DIGITAL     ,A,40.58190241,-111.2258134,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=103,65,1950,2025
PROVO               ,Provo River Dataloggers,113,SUNRISE CANAL FROM PROVO RIVER                                                  ,Sunrise Irrigation                      ,                                                                                                                                                                                                        ,Conveyance,1,113,PROVO RIVER                                                 ,Observational,2 foot Parshall Flume               ,NULL,A,40.55910968,-111.1910392,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=113,62,1950,2025
PROVO               ,Provo River Dataloggers,115,PHILLIPS DITCH                                                                  ,Phillips Ditch                          ,Float Sensor for 3.0 FT Ramp Flume                                                                                                                                                                      ,Conveyance,1,115,PROVO RIVER                                                 ,Observational,3.0 FT Ramp Flume w/ Float Sensor   ,NULL,A,40.5737235,-111.208832,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=115,15,1989,2025
CU_SCADA            ,CUWCD Scada,122,DEER CREEK RESERVOIR (DAILY CONTENTS)                                           ,DC_CALC_RES_CONTENT                     ,Deer Creek Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,1,122,PROVO RIVER                                                 ,Observational,Balance Beam Manometer              ,DIGITAL     ,A,40.40732115,-111.5266169,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=122,76,1949,2025
LBEAR               ,Bear River (Cache),181,23  PAUL CARDON                                                                 ,Af                                      ,"23 - Radio - 202, UP&L                                                                                                                                                                                  ",Conveyance,1,181,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.81990317,-111.9476558,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=181,36,1989,2024
WEBER               ,Weber River Dataloggers,248,LOWER MARION DITCH                                                              ,Lower Marion Ditch                      ,Ultrasonic Meter on Pipeline                                                                                                                                                                            ,Conveyance,1,248,WEBER RIVER                                                 ,Observational,Ultrasonic Flow Meter               ,NULL,A,40.72098274,-111.2617509,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=248,77,1948,2025
